timestamp,battery_pct,system_load_w,battery_charge_w,total_in_w,plug_a,charger_temp_note
16:51:01,50,14.0,120.4,134.5,9.8,
16:51:31,51,13.9,121.1,135.0,9.8,
16:52:01,52,14.8,121.0,135.8,9.8,
16:52:31,53,13.4,122.0,135.5,9.9,
16:53:01,53,9.7,-9.-7,0.0,0.-8,
16:53:31,54,10.5,75.5,86.0,6.2,
16:54:01,54,10.5,75.5,86.0,6.2,
16:54:26,55,10.1,76.2,86.3,6.23,
16:54:27,55,10.1,76.2,86.3,6.23,
16:54:29,55,10.1,76.2,86.3,6.23,
16:54:30,55,10.1,76.2,86.3,6.23,
16:54:31,55,10.1,76.2,86.3,6.23,
16:54:32,55,10.1,76.2,86.3,6.23,
16:54:33,55,10.1,76.2,86.3,6.23,
16:54:34,55,10.1,76.2,86.3,6.23,
16:54:35,55,10.1,76.2,86.3,6.23,
16:54:36,55,10.1,76.2,86.3,6.23,
16:54:37,55,10.1,76.2,86.3,6.23,
16:54:38,55,10.1,76.2,86.3,6.23,
16:54:39,55,10.1,76.2,86.3,6.23,
16:54:40,55,10.1,76.2,86.3,6.23,
16:54:41,55,10.1,76.2,86.3,6.23,
16:54:42,55,10.1,76.2,86.3,6.23,
16:54:43,55,10.1,76.2,86.3,6.23,
16:54:44,55,10.1,76.2,86.3,6.23,
16:54:45,55,10.1,76.2,86.3,6.23,
16:54:46,55,10.1,76.2,86.3,6.23,
16:54:47,55,10.1,76.2,86.3,6.23,
16:54:48,55,10.1,76.2,86.3,6.23,
16:54:49,55,10.1,76.2,86.3,6.23,
16:54:50,55,10.1,76.2,86.3,6.23,
16:54:51,55,10.1,76.2,86.3,6.23,
16:54:52,55,10.1,76.2,86.3,6.23,
16:54:53,55,10.1,76.2,86.3,6.23,
16:54:54,55,10.1,76.2,86.3,6.23,
16:54:55,55,10.1,76.2,86.3,6.23,
16:54:56,55,10.1,76.2,86.3,6.23,
16:54:57,55,10.1,76.2,86.3,6.23,
16:54:59,55,10.1,76.2,86.3,6.23,
16:55:00,55,10.1,76.2,86.3,6.23,
16:55:01,55,10.1,76.2,86.3,6.23,
16:55:02,55,10.1,76.2,86.3,6.23,
16:55:03,55,10.1,76.2,86.3,6.23,
16:55:04,55,10.1,76.2,86.3,6.23,
16:55:05,55,10.1,76.2,86.3,6.23,
16:55:06,55,10.1,76.2,86.3,6.23,
16:55:07,55,10.1,76.2,86.3,6.23,
16:55:08,56,13.7,72.5,86.2,5.97,
16:55:09,56,13.7,72.5,86.2,5.97,
16:55:10,56,13.7,72.5,86.2,5.97,
16:55:11,56,13.7,72.5,86.2,5.97,
16:55:12,56,13.7,72.5,86.2,5.97,
16:55:13,56,13.7,72.5,86.2,5.97,
16:55:14,56,13.7,72.5,86.2,5.97,
16:55:15,56,13.7,72.5,86.2,5.97,
16:55:16,56,13.7,72.5,86.2,5.97,
16:55:17,56,13.7,72.5,86.2,5.97,
16:55:18,56,13.7,72.5,86.2,5.97,
16:55:19,56,13.7,72.5,86.2,5.97,
16:55:20,56,13.7,72.5,86.2,5.97,
16:55:21,56,13.7,72.5,86.2,5.97,
16:55:22,56,13.7,72.5,86.2,5.97,
16:55:23,56,13.7,72.5,86.2,5.97,
16:55:25,56,13.7,72.5,86.2,5.97,
16:55:26,56,13.7,72.5,86.2,5.97,
16:55:27,56,13.7,72.5,86.2,5.97,
16:55:28,56,13.7,72.5,86.2,5.97,
16:55:29,56,13.7,72.5,86.2,5.97,
16:55:30,56,13.7,72.5,86.2,5.97,
16:55:31,56,13.7,72.5,86.2,5.97,
16:55:32,56,13.7,72.5,86.2,5.97,
16:55:33,56,13.7,72.5,86.2,5.97,
16:55:34,56,13.7,72.5,86.2,5.97,
16:55:35,56,13.7,72.5,86.2,5.97,
16:55:36,56,13.7,72.5,86.2,5.97,
16:55:37,56,13.7,72.5,86.2,5.97,
16:55:38,56,13.7,72.5,86.2,5.97,
16:55:39,56,13.7,72.5,86.2,5.97,
16:55:40,56,13.7,72.5,86.2,5.97,
16:55:41,56,13.7,72.5,86.2,5.97,
16:55:42,56,13.7,72.5,86.2,5.97,
16:55:43,56,13.7,72.5,86.2,5.97,
16:55:44,56,13.7,72.5,86.2,5.97,
16:55:45,56,13.7,72.5,86.2,5.97,
16:55:46,56,13.7,72.5,86.2,5.97,
16:55:47,56,13.7,72.5,86.2,5.97,
16:55:48,56,13.7,72.5,86.2,5.97,
16:55:49,56,13.7,72.5,86.2,5.97,
16:55:51,56,13.7,72.5,86.2,5.97,
16:55:52,56,13.7,72.5,86.2,5.97,
16:55:53,56,13.7,72.5,86.2,5.97,
16:55:54,56,13.7,72.5,86.2,5.97,
16:55:55,56,13.7,72.5,86.2,5.97,
16:55:56,56,13.7,72.5,86.2,5.97,
16:55:57,56,11.9,74.0,85.9,6.08,
16:56:14,56,33.3,36.4,69.7,3.00,
16:56:16,56,33.3,36.4,69.7,3.00,
16:56:17,56,33.3,36.4,69.7,3.00,
16:56:18,57,16.0,69.1,85.1,7.00,
16:56:19,57,16.0,69.1,85.1,7.00,
16:56:20,57,16.0,69.1,85.1,7.00,
16:56:21,57,13.8,101.4,115.2,8.29,
16:56:22,57,13.8,101.4,115.2,8.29,
16:56:23,57,13.8,101.4,115.2,8.29,
16:56:24,57,13.8,101.4,115.2,8.29,
16:56:25,57,13.8,101.4,115.2,8.29,
16:56:26,57,13.8,101.4,115.2,8.29,
16:56:27,57,13.8,101.4,115.2,8.29,
16:56:28,57,13.8,101.4,115.2,8.29,
16:56:29,57,13.8,101.4,115.2,8.29,
16:56:30,57,13.8,101.4,115.2,8.29,
16:56:31,57,13.8,101.4,115.2,8.29,
16:56:32,57,13.8,101.4,115.2,8.29,
16:56:33,57,13.8,101.4,115.2,8.29,
16:56:34,57,13.8,101.4,115.2,8.29,
16:56:35,57,13.8,101.4,115.2,8.29,
16:56:36,57,13.8,101.4,115.2,8.29,
16:56:37,57,13.8,101.4,115.2,8.29,
16:56:38,57,13.8,101.4,115.2,8.29,
16:56:39,57,13.8,101.4,115.2,8.29,
16:56:40,57,13.8,101.4,115.2,8.29,
16:56:42,57,13.8,101.4,115.2,8.29,
16:56:43,57,13.8,101.4,115.2,8.29,
16:56:44,57,13.8,101.4,115.2,8.29,
16:56:45,57,13.8,101.4,115.2,8.29,
16:56:46,57,13.8,101.4,115.2,8.29,
16:56:47,57,13.8,101.4,115.2,8.29,
16:56:48,57,13.8,101.4,115.2,8.29,
16:56:49,57,13.8,101.4,115.2,8.29,
16:56:50,57,13.8,101.4,115.2,8.29,
16:56:51,57,13.8,101.4,115.2,8.29,
16:56:52,58,15.5,114.7,130.2,9.24,
16:56:53,58,15.5,114.7,130.2,9.24,
16:56:54,58,15.5,114.7,130.2,9.24,
16:56:55,58,15.5,114.7,130.2,9.24,
16:56:56,58,15.5,114.7,130.2,9.24,
16:56:57,58,15.5,114.7,130.2,9.24,
16:56:58,58,15.5,114.7,130.2,9.24,
16:56:59,58,15.5,114.7,130.2,9.24,
16:57:00,58,15.5,114.7,130.2,9.24,
16:57:01,58,15.5,114.7,130.2,9.24,
16:57:02,58,15.5,114.7,130.2,9.24,
16:57:03,58,15.5,114.7,130.2,9.24,
16:57:04,58,15.5,114.7,130.2,9.24,
16:57:05,58,15.5,114.7,130.2,9.24,
16:57:06,58,15.5,114.7,130.2,9.24,
16:57:08,58,15.5,114.7,130.2,9.24,
16:57:09,58,15.5,114.7,130.2,9.24,
16:57:10,58,15.5,114.7,130.2,9.24,
16:57:11,58,15.5,114.7,130.2,9.24,
16:57:12,58,15.5,114.7,130.2,9.24,
16:57:13,58,15.5,114.7,130.2,9.24,
16:57:14,58,15.5,114.7,130.2,9.24,
16:57:15,58,15.5,114.7,130.2,9.24,
16:57:16,58,15.5,114.7,130.2,9.24,
16:57:17,58,15.5,114.7,130.2,9.24,
16:57:18,58,15.5,114.7,130.2,9.24,
16:57:19,58,15.5,114.7,130.2,9.24,
16:57:20,58,15.5,114.7,130.2,9.24,
16:57:21,58,15.5,114.7,130.2,9.24,
16:57:22,58,15.5,114.7,130.2,9.24,
16:57:23,58,15.5,114.7,130.2,9.24,
16:57:24,58,15.5,114.7,130.2,9.24,
16:57:25,58,15.5,114.7,130.2,9.24,
